siteName;pageName;date;currency;generatedAt;revenueDisplay;revenuePerformance;revenueSubscriptions;revenueLicencing;revenueAIUsage;revenue;visits;impressions;clicksOCNetwork;clicksAd;ecpm;cpc;pageCtr;premiumQuality;standardQuality;lowQuality;Licenced;usageAI;earningsCNFTlicence;newSubscriptions;topics;promotionsCount;OCNetworkImpressions;OCNetworkClicks;OCNetworkRevenueDisplay;OCNetworkRevenuePerformance;OCNetworkRevenueSubscriptions;OCNetworkRevenueLicencing;OCNetworkRevenueAIUsage;;;VisitsUntergrenze;Visits Obergrenze;CPM;CPC;LicenceFee;AIUsageFee
herold.biz;How to get started;15.02.25;CUSD;01.01.25;0,105;8;20;10;0;38,105;105;105;84;4;4,001025;2;4%;0,276%;78,730%;21%;1;0;10;5;"IAB1-6 – Technology & Computing, Artificial Intelligence (AI);
IAB3-2 – Automotive, Electric Vehicles;
IAB9-7 – Health & Fitness , Nutrition;
IAB11-5 – Law, Gov’t & Politics, Privacy & Data Protection;
IAB19-3 – Personal Finance, Cryptocurrency & Blockchain;";400;24896;49792;49,792;32364,8;48757,08411;3129,621494;1564,810747;;;31,29621494;243,7854205;1;2;10;0,02
herold.biz;The AI role in Publishing;04.01.25;CUSD;04.01.25;0,1128;19;12;0;0;31,1128;94;188;75;10;5,8492064;1,9;5%;0,363%;38,569%;61%;0;0;0;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1923;26858;26858;26,858;37601,2;20000;2000;1000;;;20;100;0,6;1,9;10;0,02
herold.biz;The AI role in Publishing;05.01.25;CUSD;04.01.25;0,2952;33,8;8;0;0,02;42,1152;82;246;98;26;10,3603392;1,3;11%;0,701%;19,043%;80%;0;1;0;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";638;29433;88299;264,897;20603,1;20400;2020;1010;;;20,2;102;1,2;1,3;10;0,02
herold.biz;The AI role in Publishing;06.01.25;CUSD;04.01.25;0,1488;13,5;4;0;0,02;17,6688;93;186;19;5;3,2863968;2,7;3%;0,842%;22,752%;76%;0;1;0;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1276;20972;62916;188,748;6291,6;20808;2040,2;1020,1;;;20,402;104,04;0,8;2,7;10;0,02
herold.biz;The AI role in Publishing;07.01.25;CUSD;04.01.25;0,182;25,5;4;0;0;29,682;65;260;26;17;7,71732;1,5;7%;0,613%;13,476%;86%;0;0;0;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";705;25323;101292;202,584;30387,6;21224,16;2060,602;1030,301;;;20,60602;106,1208;0,7;1,5;10;0,02
herold.biz;The AI role in Publishing;08.01.25;CUSD;04.01.25;0,066;7;8;0;0;15,066;44;44;31;5;0,662904;1,4;11%;0,438%;53,100%;46%;0;0;0;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1296;26587;106348;106,348;13293,5;21648,6432;2081,20802;1040,60401;;;20,8120802;108,243216;1,5;1,4;10;0,02
herold.biz;The AI role in Publishing;09.01.25;CUSD;04.01.25;0,2884;9,1;8;0;0,02;17,4084;103;206;41;7;3,5861304;1,3;3%;1,657%;46,070%;52%;0;1;0;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";923;22732;45464;136,392;6819,6;22081,61606;2102,0201;1051,01005;;;21,020201;110,4080803;1,4;1,3;10;0,02
herold.biz;The AI role in Publishing;10.01.25;CUSD;04.01.25;0,2296;5,4;8;0;0,02;13,6496;82;164;49;3;2,2385344;1,8;2%;1,682%;58,756%;40%;0;1;0;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";927;29182;87546;175,092;40854,8;22523,24839;2123,040301;1061,520151;;;21,23040301;112,6162419;1,4;1,8;10;0,02
herold.biz;The AI role in Publishing;11.01.25;CUSD;04.01.25;0,2112;10,5;16;0;0,02;26,7312;96;192;192;5;5,1323904;2,1;3%;0,790%;59,930%;39%;0;1;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";863;25920;77760;77,76;18144;22973,71335;2144,270704;1072,135352;;;21,44270704;114,8685668;1,1;2,1;10;0,02
herold.biz;The AI role in Publishing;12.01.25;CUSD;04.01.25;0,0484;4,5;16;0;0,02;20,5684;44;44;35;5;0,9050096;0,9;11%;0,235%;77,886%;22%;0;1;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1137;23343;93372;93,372;32680,2;23433,18762;2165,713411;1082,856706;;;21,65713411;117,1659381;1,1;0,9;10;0,02
herold.biz;The AI role in Publishing;13.01.25;CUSD;04.01.25;0,116;7,7;16;0;0,02;23,836;29;116;46;7;2,764976;1,1;6%;0,487%;67,209%;32%;0;1;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1002;25483;50966;50,966;17838,1;23901,85137;2187,370545;1093,685273;;;21,87370545;119,5092569;1;1,1;10;0,02
herold.biz;The AI role in Publishing;14.01.25;CUSD;04.01.25;0,0306;12;12;0;0,02;24,0506;51;51;36;5;1,2265806;2,4;10%;0,127%;49,978%;50%;0;1;0;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";334;22377;89508;179,016;13426,2;24379,8884;2209,244251;1104,622125;;;22,09244251;121,899442;0,6;2,4;10;0,02
herold.biz;The AI role in Publishing;15.01.25;CUSD;04.01.25;0,0588;3,9;16;0;0,02;19,9788;49;49;25;3;0,9789612;1,3;6%;0,294%;80,185%;20%;0;1;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1446;23221;23221;69,663;16254,7;24867,48617;2231,336693;1115,668347;;;22,31336693;124,3374308;1,2;1,3;10;0,02
herold.biz;The AI role in Publishing;16.01.25;CUSD;04.01.25;0,0693;3;16;0;0;19,0693;99;99;50;3;1,8878607;1;3%;0,363%;83,904%;16%;0;0;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";377;28374;85122;85,122;8512,2;25364,83589;2253,65006;1126,82503;;;22,5365006;126,8241795;0,7;1;10;0,02
herold.biz;The AI role in Publishing;17.01.25;CUSD;04.01.25;0,0285;6;12;0;0,02;18,0485;57;57;46;4;1,0287645;1,5;7%;0,158%;66,598%;33%;0;1;0;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1472;24773;74319;148,638;37159,5;25872,13261;2276,186561;1138,09328;;;22,76186561;129,360663;0,5;1,5;10;0,02
herold.biz;The AI role in Publishing;18.01.25;CUSD;04.01.25;0,1696;10,5;4;0;0;14,6696;106;212;106;5;3,1099552;2,1;2%;1,156%;27,267%;72%;0;0;0;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1904;20746;82984;82,984;29044,4;26389,57526;2298,948426;1149,474213;;;22,98948426;131,9478763;0,8;2,1;10;0,02
herold.biz;The AI role in Publishing;19.01.25;CUSD;04.01.25;0,237;12;12;0;0;24,237;79;237;71;8;5,744169;1,5;3%;0,978%;49,511%;50%;0;0;0;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";853;20199;60597;121,194;22218,9;26917,36677;2321,937911;1160,968955;;;23,21937911;134,5868338;1;1,5;10;0,02
herold.biz;The AI role in Publishing;20.01.25;CUSD;04.01.25;0,088;13,6;20;0;0,04;33,728;88;88;62;8;2,968064;1,7;9%;0,261%;59,417%;40%;0;2;0;5;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1605;29913;119652;239,304;23930,4;27455,7141;2345,15729;1172,578645;;;23,4515729;137,2785705;1;1,7;10;0,02
herold.biz;The AI role in Publishing;21.01.25;CUSD;04.01.25;0,3;35,2;20;0;0;55,5;125;375;38;16;20,8125;2,2;4%;0,541%;36,036%;63%;0;0;0;5;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1944;28783;28783;28,783;20148,1;28004,82838;2368,608863;1184,304431;;;23,68608863;140,0241419;0,8;2,2;10;0,02
herold.biz;The AI role in Publishing;22.01.25;CUSD;04.01.25;0,3159;49,5;20;0;0,02;69,8359;117;351;105;33;24,5124009;1,5;9%;0,452%;28,667%;71%;0;1;0;5;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1451;27868;83604;250,812;33441,6;28564,92495;2392,294951;1196,147476;;;23,92294951;142,8246248;0,9;1,5;10;0,02
herold.biz;The AI role in Publishing;23.01.25;CUSD;04.01.25;0,564;9;4;0;0,02;13,584;94;376;263;5;5,107584;1,8;1%;4,152%;29,594%;66%;0;1;0;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";211;29811;59622;59,622;20867,7;29136,22345;2416,217901;1208,10895;;;24,16217901;145,6811173;1,5;1,8;10;0,02
herold.biz;The AI role in Publishing;24.01.25;CUSD;04.01.25;0,84;35;8;0;0,02;43,86;140;560;392;35;24,5616;1;6%;1,915%;18,285%;80%;0;1;0;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";479;23769;47538;47,538;30899,7;29718,94792;2440,38008;1220,19004;;;24,4038008;148,5947396;1,5;1;10;0,02
herold.biz;The AI role in Publishing;25.01.25;CUSD;04.01.25;0,2058;22,1;4;0;0;26,3058;147;147;29;13;3,8669526;1,7;9%;0,782%;15,206%;84%;0;0;0;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";346;24199;96796;290,388;14519,4;30313,32688;2464,783881;1232,39194;;;24,64783881;151,5666344;1,4;1,7;10;0,02
herold.biz;The AI role in Publishing;26.01.25;CUSD;04.01.25;0,2048;21,6;16;0;0;37,8048;64;256;179;27;9,6780288;0,8;11%;0,542%;42,323%;57%;0;0;0;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";456;22850;91400;91,4;22850;30919,59342;2489,43172;1244,71586;;;24,8943172;154,5979671;0,8;0,8;10;0,02
herold.biz;The AI role in Publishing;27.01.25;CUSD;04.01.25;0,068;16;4;10;0;30,068;68;136;14;8;4,089248;2;6%;0,226%;46,561%;53%;1;0;10;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";361;26241;26241;78,723;7872,3;31537,98528;2514,326037;1257,163018;;;25,14326037;157,6899264;0,5;2;10;0,02
herold.biz;The AI role in Publishing;28.01.25;CUSD;04.01.25;0,5148;55,9;16;10;0;82,4148;117;468;187;43;38,5701264;1,3;9%;0,625%;31,548%;68%;1;0;10;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1867;25936;25936;77,808;20748,8;32168,74499;2539,469297;1269,734649;;;25,39469297;160,8437249;1,1;1,3;10;0,02
herold.biz;The AI role in Publishing;29.01.25;CUSD;04.01.25;0,248;8;12;10;0,02;30,268;124;248;198;8;7,506464;1;3%;0,819%;72,750%;26%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1534;21485;21485;42,97;23633,5;32812,11989;2564,86399;1282,431995;;;25,6486399;164,0605994;1;1;10;0,02
herold.biz;The AI role in Publishing;30.01.25;CUSD;04.01.25;0,0636;52;4;10;0,02;66,0836;53;212;148;20;14,0097232;2,6;9%;0,096%;21,216%;79%;1;1;10;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1490;23546;94184;282,552;7063,8;33468,36229;2590,51263;1295,256315;;;25,9051263;167,3418114;0,3;2,6;10;0,02
herold.biz;The AI role in Publishing;31.01.25;CUSD;04.01.25;0,1404;8,4;20;10;0,02;38,5604;156;156;62;4;6,0154224;2,1;3%;0,364%;77,852%;22%;1;1;10;5;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1231;28403;56806;170,418;25562,7;34137,72953;2616,417756;1308,208878;;;26,16417756;170,6886477;0,9;2,1;10;0,02
herold.biz;The AI role in Publishing;01.02.25;CUSD;04.01.25;0,1188;34,2;8;10;0,02;52,3388;99;297;238;19;15,5446236;1,8;6%;0,227%;34,430%;65%;1;1;10;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";236;27494;109976;329,928;30243,4;34820,48412;2642,581934;1321,290967;;;26,42581934;174,1024206;0,4;1,8;10;0,02
herold.biz;The AI role in Publishing;02.02.25;CUSD;04.01.25;0,3384;78,2;16;10;0,02;104,5584;141;564;226;46;58,9709376;1,7;8%;0,324%;24,886%;75%;1;1;10;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1174;28626;28626;57,252;17175,6;35516,89381;2669,007753;1334,503877;;;26,69007753;177,584469;0,6;1,7;10;0,02
herold.biz;The AI role in Publishing;03.02.25;CUSD;04.01.25;0,1512;12;12;10;0,02;34,1712;42;126;13;12;4,3055712;1;10%;0,442%;64,440%;35%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1955;24239;72717;72,717;16967,3;36227,23168;2695,697831;1347,848915;;;26,95697831;181,1361584;1,2;1;10;0,02
herold.biz;The AI role in Publishing;04.02.25;CUSD;04.01.25;0,1548;55,1;4;10;0;69,2548;129;258;181;19;17,8677384;2,9;7%;0,224%;20,215%;80%;1;0;10;1;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1763;25441;101764;305,292;12720,5;36951,77632;2722,654809;1361,327404;;;27,22654809;184,7588816;0,6;2,9;10;0,02
herold.biz;The AI role in Publishing;05.02.25;CUSD;04.01.25;0,8496;108;12;10;0,02;130,8696;177;708;71;36;92,6556768;3;5%;0,649%;16,826%;83%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";399;25089;100356;200,712;10035,6;37690,81184;2749,881357;1374,940679;;;27,49881357;188,4540592;1,2;3;10;0,02
herold.biz;The AI role in Publishing;06.02.25;CUSD;04.01.25;0,594;18,7;12;10;0,02;41,314;165;495;248;11;20,45043;1,7;2%;1,438%;53,299%;45%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1846;26944;107776;107,776;13472;38444,62808;2777,380171;1388,690085;;;27,77380171;192,2231404;1,2;1,7;10;0,02
herold.biz;The AI role in Publishing;07.02.25;CUSD;04.01.25;0,1032;43,2;8;10;0;61,3032;129;258;77;24;15,8162256;1,8;9%;0,168%;29,362%;70%;1;0;10;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1478;23129;23129;69,387;30067,7;39213,52064;2805,153972;1402,576986;;;28,05153972;196,0676032;0,4;1,8;10;0,02
herold.biz;The AI role in Publishing;08.02.25;CUSD;04.01.25;0,16;15,6;12;10;0,02;37,78;160;160;48;6;6,0448;2,6;4%;0,424%;58,285%;41%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1428;26237;78711;78,711;15742,2;39997,79105;2833,205512;1416,602756;;;28,33205512;199,9889553;1;2,6;10;0,02
herold.biz;The AI role in Publishing;09.02.25;CUSD;04.01.25;0,0546;9,5;8;10;0,02;27,5746;39;39;4;5;1,0754094;1,9;13%;0,198%;65,350%;34%;1;1;10;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1692;28845;57690;173,07;8653,5;40797,74687;2861,537567;1430,768784;;;28,61537567;203,9887344;1,4;1,9;10;0,02
herold.biz;The AI role in Publishing;10.02.25;CUSD;04.01.25;0,882;48;8;10;0;66,882;147;588;470;48;39,326616;1;8%;1,319%;26,913%;72%;1;0;10;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";398;27992;55984;55,984;36389,6;41613,70181;2890,152943;1445,076471;;;28,90152943;208,0685091;1,5;1;10;0,02
herold.biz;The AI role in Publishing;11.02.25;CUSD;04.01.25;0,2145;44;20;10;0,02;74,2345;143;429;172;44;31,8466005;1;10%;0,289%;40,439%;59%;1;1;10;5;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1083;20067;60201;180,603;12040,2;42445,97585;2919,054472;1459,527236;;;29,19054472;212,2298792;0,5;1;10;0,02
herold.biz;The AI role in Publishing;12.02.25;CUSD;04.01.25;0,3304;19,5;8;10;0;37,8304;59;236;94;15;8,9279744;1,3;6%;0,873%;47,581%;52%;1;0;10;2;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";298;21279;42558;42,558;25534,8;43294,89536;2948,245017;1474,122509;;;29,48245017;216,4744768;1,4;1,3;10;0,02
herold.biz;The AI role in Publishing;13.02.25;CUSD;04.01.25;0,1421;11,2;16;10;0,02;37,3621;203;203;81;7;7,5845063;1,6;3%;0,380%;69,643%;30%;1;1;10;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";375;27541;110164;220,328;38557,4;44160,79327;2977,727467;1488,863734;;;29,77727467;220,8039664;0,7;1,6;10;0,02
herold.biz;The AI role in Publishing;14.02.25;CUSD;04.01.25;0,1209;8;12;10;0,02;30,1409;31;93;28;4;2,8031037;2;4%;0,401%;73,057%;27%;1;1;10;3;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1039;22792;68376;205,128;15954,4;45044,00914;3007,504742;1503,752371;;;30,07504742;225,2200457;1,3;2;10;0,02
herold.biz;The AI role in Publishing;15.02.25;CUSD;04.01.25;0,174;52,2;16;10;0,02;78,394;58;174;122;18;13,640556;2,9;10%;0,222%;33,191%;67%;1;1;10;4;"IAB8-11 – Food & Drink, Coffee & Tea;
IAB17-4 – News, Science News;
IAB6-2 – Education, Online Education;
IAB18-3 – Parenting, Teen Parenting;
IAB14-7 – Real Estate, Home Improvement;";1701;25944;25944;25,944;31132,8;45944,88932;3037,579789;1518,789895;;;30,37579789;229,7244466;1;2,9;10;0,02
ocoso.io;Your network for publishing;08.01.25;CUSD;08.01.25;0,1232;36,4;12;0;0,02;48,5432;77;154;123;13;7,4756528;2,8;8%;0,254%;24,761%;75%;0;1;0;3;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1638;26858;26858;26,858;37601,2;20000;2000;1000;;;20;100;0,8;2,8;10;0,02
ocoso.io;Your network for publishing;09.01.25;CUSD;08.01.25;0,24;48;8;0;0,02;56,26;100;300;150;16;16,878;3;5%;0,427%;14,255%;85%;0;1;0;2;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1606;29433;88299;264,897;20603,1;20400;2020;1010;;;20,2;102;0,8;3;10;0,02
ocoso.io;Your network for publishing;10.01.25;CUSD;08.01.25;0,072;4,8;20;0;0,02;24,892;48;48;43;4;1,194816;1,2;8%;0,289%;80,427%;19%;0;1;0;5;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1679;20972;62916;188,748;6291,6;20808;2040,2;1020,1;;;20,402;104,04;1,5;1,2;10;0,02
ocoso.io;Your network for publishing;11.01.25;CUSD;08.01.25;0,2163;43,5;8;0;0,04;51,7563;103;309;185;29;15,9926967;1,5;9%;0,418%;15,534%;84%;0;2;0;2;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1516;25323;101292;202,584;30387,6;21224,16;2060,602;1030,301;;;20,60602;106,1208;0,7;1,5;10;0,02
ocoso.io;Your network for publishing;12.01.25;CUSD;08.01.25;0,186;29;20;0;0,02;49,206;62;124;124;10;6,101544;2,9;8%;0,378%;40,686%;59%;0;1;0;5;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1647;26587;106348;106,348;13293,5;21648,6432;2081,20802;1040,60401;;;20,8120802;108,243216;1,5;2,9;10;0,02
ocoso.io;Your network for publishing;13.01.25;CUSD;08.01.25;0,2376;46,5;8;0;0;54,7376;99;297;178;31;16,2570672;1,5;10%;0,434%;14,615%;85%;0;0;0;2;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1576;22732;45464;136,392;6819,6;22081,61606;2102,0201;1051,01005;;;21,020201;110,4080803;0,8;1,5;10;0,02
ocoso.io;Your network for publishing;14.01.25;CUSD;08.01.25;0,1128;6,4;4;0;0,02;10,5328;47;141;127;4;1,4851248;1,6;3%;1,071%;38,166%;61%;0;1;0;1;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1288;29182;87546;175,092;40854,8;22523,24839;2123,040301;1061,520151;;;21,23040301;112,6162419;0,8;1,6;10;0,02
ocoso.io;Your network for publishing;15.01.25;CUSD;08.01.25;0,2376;7,7;16;0;0;23,9376;54;216;108;7;5,1705216;1,1;3%;0,993%;66,840%;32%;0;0;0;4;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";739;25920;77760;77,76;18144;22973,71335;2144,270704;1072,135352;;;21,44270704;114,8685668;1,1;1,1;10;0,02
ocoso.io;Your network for publishing;16.01.25;CUSD;08.01.25;0,384;25,3;20;0;0;45,684;64;256;128;11;11,695104;2,3;4%;0,841%;43,779%;55%;0;0;0;5;"IAB1-3 – Technology & Computing , Gadgets;
IAB2-8 – Arts & Entertainment, Music;
IAB3-5 – Automotive, Motorsports;
IAB4-2 – Business, Entrepreneurship;
IAB6-7 – Education, Special Education;";1067;23343;93372;93,372;32680,2;23433,18762;2165,713411;1082,856706;;;21,65713411;117,1659381;1,5;2,3;10;0,02
