Name;Volume each;flow_1;Tier 1 Name;self_1;flow_2;Tier 2 Name;self_2;flow_3;Tier 3 Name;self_3;flow_4;Tier 4 Name;self_4;flow_5;Tier 5 Name;self_5;flow_6;Tier 6 Name;self_6
Collecting;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;881;Collecting;294;587;;;;;
Comic Books;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Collecting;;482;Comic Books;482;;;
Stamps and Coins;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Collecting;;105;Stamps and Coins;105;;;
Content Production;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;1667;Content Production;556;1111;;;;;
Audio Production;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Content Production;;127;Audio Production;127;;;
Freelance Writing;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Content Production;;263;Freelance Writing;263;;;
Screenwriting;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Content Production;;670;Screenwriting;670;;;
Video Production;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Content Production;;51;Video Production;51;;;
Games and Puzzles;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;717;Games and Puzzles;239;478;;;;;
Board Games and Puzzles;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Games and Puzzles;;10;Board Games and Puzzles;10;;;
Card Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Games and Puzzles;;112;Card Games;112;;;
Roleplaying Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;;Games and Puzzles;;356;Roleplaying Games;356;;;
Genealogy and Ancestry;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;610;Genealogy and Ancestry;610;;;;;;
Magic and Illusion;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;44;Magic and Illusion;44;;;;;;
Model Toys;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;110;Model Toys;110;;;;;;
Musical Instruments;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;410;Musical Instruments;410;;;;;;
Paranormal Phenomena;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;405;Paranormal Phenomena;405;;;;;;
Radio Control;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;676;Radio Control;676;;;;;;
Sci-fi and Fantasy;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;360;Sci-fi and Fantasy;360;;;;;;
Workshops and Classes;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Hobbies & Interests;;13;Workshops and Classes;13;;;;;;
Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;20069;Music;6690;13379;;;;;;;;
Adult Album Alternative;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;183;Adult Album Alternative;183;;;;;;
Adult Contemporary Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;354;Adult Contemporary Music;118;236;;;;;
Soft AC Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Adult Contemporary Music;;140;Soft AC Music;140;;;
Urban AC Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Adult Contemporary Music;;96;Urban AC Music;96;;;
Alternative Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;990;Alternative Music;990;;;;;;
Blues;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;831;Blues;831;;;;;;
Children's Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;713;Children's Music;713;;;;;;
Classic Hits;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;665;Classic Hits;665;;;;;;
Classical Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;610;Classical Music;610;;;;;;
College Radio;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;732;College Radio;732;;;;;;
Comedy (Music and Audio);0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;817;Comedy (Music and Audio);817;;;;;;
Contemporary Hits/Pop/Top 40;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;413;Contemporary Hits/Pop/Top 40;413;;;;;;
Country Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;707;Country Music;707;;;;;;
Dance and Electronic Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;684;Dance and Electronic Music;684;;;;;;
Gospel Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;428;Gospel Music;428;;;;;;
Hip Hop Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;28;Hip Hop Music;28;;;;;;
Inspirational/New Age Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;408;Inspirational/New Age Music;408;;;;;;
Jazz;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;383;Jazz;383;;;;;;
Oldies/Adult Standards;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;37;Oldies/Adult Standards;37;;;;;;
R&B/Soul/Funk;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;449;R&B/Soul/Funk;449;;;;;;
Reggae;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;223;Reggae;223;;;;;;
Religious (Music and Audio);0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;646;Religious (Music and Audio);646;;;;;;
Rock Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;1559;Rock Music;520;1039;;;;;
Album-oriented Rock;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Rock Music;;140;Album-oriented Rock;140;;;
Alternative Rock;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Rock Music;;614;Alternative Rock;614;;;
Classic Rock;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Rock Music;;26;Classic Rock;26;;;
Hard Rock;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Rock Music;;257;Hard Rock;257;;;
Soft Rock;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;;Rock Music;;2;Soft Rock;2;;;
Songwriters/Folk;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;299;Songwriters/Folk;299;;;;;;
Soundtracks, TV and Showtunes;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;32;Soundtracks, TV and Showtunes;32;;;;;;
World/International Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;461;World/International Music;461;;;;;;
Urban Contemporary Music;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;192;Urban Contemporary Music;192;;;;;;
Variety (Music and Audio);0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Music;;535;Variety (Music and Audio);535;;;;;;
Pop Culture;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;5414;Pop Culture;1805;3609;;;;;;;;
Celebrity Deaths;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;350;Celebrity Deaths;350;;;;;;
Celebrity Families;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;477;Celebrity Families;477;;;;;;
Celebrity Homes;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;236;Celebrity Homes;236;;;;;;
Celebrity Pregnancy;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;80;Celebrity Pregnancy;80;;;;;;
Celebrity Relationships;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;911;Celebrity Relationships;911;;;;;;
Celebrity Scandal;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;550;Celebrity Scandal;550;;;;;;
Celebrity Style;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;875;Celebrity Style;875;;;;;;
Humor and Satire;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Pop Culture;;130;Humor and Satire;130;;;;;;
Home & Garden;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;8766;Home & Garden;2922;5844;;;;;;;;
Gardening;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;419;Gardening;419;;;;;;
Home Appliances;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;941;Home Appliances;941;;;;;;
Home Entertaining;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;208;Home Entertaining;208;;;;;;
Home Improvement;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;165;Home Improvement;165;;;;;;
Home Security;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;702;Home Security;702;;;;;;
Indoor Environmental Quality;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;641;Indoor Environmental Quality;641;;;;;;
Interior Decorating;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;32;Interior Decorating;32;;;;;;
Landscaping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;855;Landscaping;855;;;;;;
Outdoor Decorating;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;598;Outdoor Decorating;598;;;;;;
Remodeling & Construction;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;923;Remodeling & Construction;923;;;;;;
Smart Home;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Home & Garden;;360;Smart Home;360;;;;;;
Shopping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;9797;Shopping;3266;6531;;;;;;;;
Children's Games and Toys;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;740;Children's Games and Toys;740;;;;;;
Coupons and Discounts;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;603;Coupons and Discounts;603;;;;;;
Flower Shopping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;741;Flower Shopping;741;;;;;;
Gifts and Greetings Cards;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;570;Gifts and Greetings Cards;570;;;;;;
Grocery Shopping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;642;Grocery Shopping;642;;;;;;
Holiday Shopping;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;644;Holiday Shopping;644;;;;;;
Household Supplies;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;795;Household Supplies;795;;;;;;
Lotteries and Scratchcards;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;964;Lotteries and Scratchcards;964;;;;;;
Party Supplies and Decorations;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;341;Party Supplies and Decorations;341;;;;;;
Sales and Promotions;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Shopping;;491;Sales and Promotions;491;;;;;;
Style & Fashion;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;18861;Style & Fashion;6287;12574;;;;;;;;
Beauty;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;1278;Beauty;426;852;;;;;
Hair Care;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;107;Hair Care;107;;;
Makeup and Accessories;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;61;Makeup and Accessories;61;;;
Nail Care;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;362;Nail Care;362;;;
Natural and Organic Beauty;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;19;Natural and Organic Beauty;19;;;
Perfume and Fragrance;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;40;Perfume and Fragrance;40;;;
Skin Care;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Beauty;;263;Skin Care;263;;;
Body Art;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;465;Body Art;465;;;;;;
Children's Clothing;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;998;Children's Clothing;998;;;;;;
Designer Clothing;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;387;Designer Clothing;387;;;;;;
Fashion Trends;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;688;Fashion Trends;688;;;;;;
High Fashion;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;768;High Fashion;768;;;;;;
Men's Fashion;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;2339;Men's Fashion;780;1559;;;;;
Men's Accessories;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;5;Men's Accessories;2;3;;
Men's Jewelry and Watches;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Accessories;;3;Men's Jewelry and Watches;3
Men's Clothing;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;1434;Men's Clothing;478;956;;
Men's Business Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;90;Men's Business Wear;90
Men's Casual Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;360;Men's Casual Wear;360
Men's Formal Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;9;Men's Formal Wear;9
Men's Outerwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;136;Men's Outerwear;136
Men's Sportswear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;25;Men's Sportswear;25
Men's Underwear and Sleepwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;;Men's Clothing;;336;Men's Underwear and Sleepwear;336
Men's Shoes and Footwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Men's Fashion;;120;Men's Shoes and Footwear;120;;;
Personal Care;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;1842;Personal Care;614;1228;;;;;
Bath and Shower;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Personal Care;;243;Bath and Shower;243;;;
Deodorant and Antiperspirant;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Personal Care;;517;Deodorant and Antiperspirant;517;;;
Oral care;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Personal Care;;445;Oral care;445;;;
Shaving;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Personal Care;;23;Shaving;23;;;
Street Style;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;713;Street Style;713;;;;;;
Women's Fashion;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;3096;Women's Fashion;1032;2064;;;;;
Women's Accessories;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;645;Women's Accessories;215;430;;
Women's Glasses;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Accessories;;52;Women's Glasses;52
Women's Handbags and Wallets;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Accessories;;275;Women's Handbags and Wallets;275
Women's Hats and Scarves;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Accessories;;100;Women's Hats and Scarves;100
Women's Jewelry and Watches;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Accessories;;3;Women's Jewelry and Watches;3
Women's Clothing;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;1356;Women's Clothing;452;904;;
Women's Business Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;52;Women's Business Wear;52
Women's Casual Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;115;Women's Casual Wear;115
Women's Formal Wear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;403;Women's Formal Wear;403
Women's Intimates and Sleepwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;210;Women's Intimates and Sleepwear;210
Women's Outerwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;27;Women's Outerwear;27
Women's Sportswear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;;Women's Clothing;;97;Women's Sportswear;97
Women's Shoes and Footwear;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Style & Fashion;;;Women's Fashion;;63;Women's Shoes and Footwear;63;;;
Video Gaming;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;13185;Video Gaming;4395;8790;;;;;;;;
Console Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;212;Console Games;212;;;;;;
eSports;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;718;eSports;718;;;;;;
Mobile Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;315;Mobile Games;315;;;;;;
PC Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;669;PC Games;669;;;;;;
Video Game Genres;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;6876;Video Game Genres;2292;4584;;;;;
Action Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;416;Action Video Games;416;;;
Action-Adventure Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;28;Action-Adventure Video Games;28;;;
Adult Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;651;Adult Video Games;651;;;
Adventure Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;410;Adventure Video Games;410;;;
Casino and Gambling Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;610;Casino and Gambling Video Games;610;;;
Casual Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;249;Casual Games;249;;;
Educational Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;55;Educational Video Games;55;;;
Exercise and Fitness Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;547;Exercise and Fitness Video Games;547;;;
Family Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;191;Family Video Games;191;;;
Horror Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;143;Horror Video Games;143;;;
MMOs;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;37;MMOs;37;;;
Music and Party Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;51;Music and Party Video Games;51;;;
Puzzle Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;144;Puzzle Video Games;144;;;
Racing Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;572;Racing Video Games;572;;;
Role-Playing Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;37;Role-Playing Video Games;37;;;
Simulation Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;87;Simulation Video Games;87;;;
Sports Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;47;Sports Video Games;47;;;
Strategy Video Games;0;;OCOSO;;;Lifestyle, Entertainment and Arts;;;Video Gaming;;;Video Game Genres;;309;Strategy Video Games;309;;;
Family;0;;OCOSO;;28271;Family;9424;18847;;;;;;;;;;;
Family and Relationships;0;;OCOSO;;;Family;;7247;Family and Relationships;2416;4831;;;;;;;;
Bereavement;0;;OCOSO;;;Family;;;Family and Relationships;;364;Bereavement;364;;;;;;
Dating;0;;OCOSO;;;Family;;;Family and Relationships;;33;Dating;33;;;;;;
Divorce;0;;OCOSO;;;Family;;;Family and Relationships;;409;Divorce;409;;;;;;
Eldercare;0;;OCOSO;;;Family;;;Family and Relationships;;900;Eldercare;900;;;;;;
Marriage and Civil Unions;0;;OCOSO;;;Family;;;Family and Relationships;;517;Marriage and Civil Unions;517;;;;;;
Parenting;0;;OCOSO;;;Family;;;Family and Relationships;;2375;Parenting;792;1583;;;;;
Adoption and Fostering;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;23;Adoption and Fostering;23;;;
Daycare and Pre-School;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;292;Daycare and Pre-School;292;;;
Internet Safety;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;113;Internet Safety;113;;;
Parenting Babies and Toddlers;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;45;Parenting Babies and Toddlers;45;;;
Parenting Children Aged 4-11;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;695;Parenting Children Aged 4-11;695;;;
Parenting Teens;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;223;Parenting Teens;223;;;
Special Needs Kids;0;;OCOSO;;;Family;;;Family and Relationships;;;Parenting;;192;Special Needs Kids;192;;;
Single Life;0;;OCOSO;;;Family;;;Family and Relationships;;233;Single Life;233;;;;;;
Personal Celebrations & Life Events;0;;OCOSO;;;Family;;4833;Personal Celebrations & Life Events;1611;3222;;;;;;;;
Anniversary;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;168;Anniversary;168;;;;;;
Baby Shower;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;327;Baby Shower;327;;;;;;
Bachelor Party;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;31;Bachelor Party;31;;;;;;
Bachelorette Party;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;61;Bachelorette Party;61;;;;;;
Birth;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;451;Birth;451;;;;;;
Birthday;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;762;Birthday;762;;;;;;
Funeral;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;294;Funeral;294;;;;;;
Graduation;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;365;Graduation;365;;;;;;
Prom;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;360;Prom;360;;;;;;
Wedding;0;;OCOSO;;;Family;;;Personal Celebrations & Life Events;;403;Wedding;403;;;;;;
Pets;0;;OCOSO;;;Family;;6767;Pets;2256;4511;;;;;;;;
Birds;0;;OCOSO;;;Family;;;Pets;;59;Birds;59;;;;;;
Cats;0;;OCOSO;;;Family;;;Pets;;36;Cats;36;;;;;;
Dogs;0;;OCOSO;;;Family;;;Pets;;443;Dogs;443;;;;;;
Fish and Aquariums;0;;OCOSO;;;Family;;;Pets;;816;Fish and Aquariums;816;;;;;;
Large Animals;0;;OCOSO;;;Family;;;Pets;;816;Large Animals;816;;;;;;
Pet Adoptions;0;;OCOSO;;;Family;;;Pets;;680;Pet Adoptions;680;;;;;;
Pet Supplies;0;;OCOSO;;;Family;;;Pets;;917;Pet Supplies;917;;;;;;
Reptiles;0;;OCOSO;;;Family;;;Pets;;214;Reptiles;214;;;;;;
Veterinary Medicine;0;;OCOSO;;;Family;;;Pets;;530;Veterinary Medicine;530;;;;;;
Society;0;;OCOSO;;1359585;Society;453195;906390;;;;;;;;;;;
Communication;0;;OCOSO;;;Society;;182813;Communication;182813;;;;;;;;;
Crime;0;;OCOSO;;;Society;;43261;Crime;43261;;;;;;;;;
Disasters;0;;OCOSO;;;Society;;562474;Disasters;562474;;;;;;;;;
Law;0;;OCOSO;;;Society;;102808;Law;102808;;;;;;;;;
Religion & Spirituality;0;;OCOSO;;;Society;;5768;Religion & Spirituality;1923;3845;;;;;;;;
Agnosticism;0;;OCOSO;;;Society;;;Religion & Spirituality;;54;Agnosticism;54;;;;;;
Astrology;0;;OCOSO;;;Society;;;Religion & Spirituality;;651;Astrology;651;;;;;;
Atheism;0;;OCOSO;;;Society;;;Religion & Spirituality;;514;Atheism;514;;;;;;
Buddhism;0;;OCOSO;;;Society;;;Religion & Spirituality;;44;Buddhism;44;;;;;;
Christianity;0;;OCOSO;;;Society;;;Religion & Spirituality;;406;Christianity;406;;;;;;
Hinduism;0;;OCOSO;;;Society;;;Religion & Spirituality;;639;Hinduism;639;;;;;;
Islam;0;;OCOSO;;;Society;;;Religion & Spirituality;;514;Islam;514;;;;;;
Judaism;0;;OCOSO;;;Society;;;Religion & Spirituality;;242;Judaism;242;;;;;;
Sikhism;0;;OCOSO;;;Society;;;Religion & Spirituality;;750;Sikhism;750;;;;;;
Spirituality;0;;OCOSO;;;Society;;;Religion & Spirituality;;31;Spirituality;31;;;;;;
Sensitive Topics;0;;OCOSO;;;Society;;9266;Sensitive Topics;3089;6177;;;;;;;;
Adult & Explicit Sexual Content;0;;OCOSO;;;Society;;;Sensitive Topics;;545;Adult & Explicit Sexual Content;545;;;;;;
Arms & Ammunition;0;;OCOSO;;;Society;;;Sensitive Topics;;170;Arms & Ammunition;170;;;;;;
Crime & Harmful Acts to Individuals, Society & Human Right Violations;0;;OCOSO;;;Society;;;Sensitive Topics;;795;Crime & Harmful Acts to Individuals, Society & Human Right Violations;795;;;;;;
Death, Injury, or Military Conflict;0;;OCOSO;;;Society;;;Sensitive Topics;;534;Death, Injury, or Military Conflict;534;;;;;;
Debated Sensitive Social Issues;0;;OCOSO;;;Society;;;Sensitive Topics;;978;Debated Sensitive Social Issues;978;;;;;;
Hate Speech and Acts of Aggression;0;;OCOSO;;;Society;;;Sensitive Topics;;706;Hate Speech and Acts of Aggression;706;;;;;;
Illegal Drugs, Tobacco, eCigarettes, Vaping, Alcohol;0;;OCOSO;;;Society;;;Sensitive Topics;;666;Illegal Drugs, Tobacco, eCigarettes, Vaping, Alcohol;666;;;;;;
Obscenity and Profanity;0;;OCOSO;;;Society;;;Sensitive Topics;;373;Obscenity and Profanity;373;;;;;;
Online Piracy;0;;OCOSO;;;Society;;;Sensitive Topics;;413;Online Piracy;413;;;;;;
Spam or Harmful Content;0;;OCOSO;;;Society;;;Sensitive Topics;;277;Spam or Harmful Content;277;;;;;;
